SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
521016,INDO COUNT  ,A ,Q,262.80,265.00,257.35,260.90,260.75,264.05,933,22669,5904392.00,,INE483B01026,06-Jan-22,,
521018,MARAL OVERS ,B ,Q,116.50,119.90,112.65,119.90,119.90,114.20,414,53789,6430149.00,,INE882A01013,06-Jan-22,,
521048,ADV LIFESTY ,XT,Q,48.10,48.10,48.10,48.10,48.10,50.60,2,101,4858.00,,INE900E01015,06-Jan-22,,
521064,TRIDENT     ,A ,Q,52.45,54.00,51.10,52.85,52.85,52.65,8299,1499539,78787500.00,,INE064C01022,06-Jan-22,,
521068,HISAR SPIN. ,P ,Q,37.00,37.00,37.00,37.00,37.00,35.25,4,500,18500.00,,INE689E01014,06-Jan-22,,
521070,ALOK INDS.  ,A ,Q,24.50,27.65,24.10,26.65,26.65,24.60,13097,7137323,188757503.00,,INE270A01029,06-Jan-22,,
521080,PASARI SPIN ,XT,Q,10.54,10.54,10.54,10.54,10.54,10.04,32,30440,320837.00,,INE604F01010,06-Jan-22,,
521082,SPENTEX INDS,Z ,Q,3.99,3.99,3.99,3.99,3.99,4.20,12,11526,45988.00,,INE376C01020,06-Jan-22,,
521097,AMARJOTHI SP,X ,Q,198.50,209.00,194.10,202.05,202.05,200.10,344,22560,4555920.00,,INE484D01012,06-Jan-22,,
521105,OLYMPIA IND.,X ,Q,38.05,41.85,38.05,41.85,41.85,39.90,28,4066,165175.00,,INE482O01021,06-Jan-22,,
521109,NAGREEKA EXP,B ,Q,37.85,39.55,37.85,39.35,39.35,38.45,20,945,36701.00,,INE123B01028,06-Jan-22,,
521113,SUDITI IND. ,XT,Q,27.05,27.05,25.80,26.50,26.50,25.80,55,14976,402420.00,,INE691D01012,06-Jan-22,,
521131,SBFL        ,XT,Q,21.60,21.60,19.60,21.60,21.60,20.60,118,32945,697678.00,,INE363D01018,06-Jan-22,,
521141,ADITYA SPIN.,XT,Q,23.15,23.15,23.10,23.15,23.15,22.05,133,10051,232676.00,,INE122D01026,06-Jan-22,,
521151,DHANLXMI FAB,X ,Q,31.95,31.95,29.55,29.70,29.70,31.00,8,381,11555.00,,INE953D01016,06-Jan-22,,
521161,SRI LAK.SAR.,X ,Q,51.55,54.25,50.30,54.25,54.25,51.75,33,2068,109921.00,,INE456D01010,06-Jan-22,,
521163,ZODIAC CLOTH,B ,Q,108.85,114.90,106.90,112.35,112.95,109.90,169,3880,431522.00,,INE206B01013,06-Jan-22,,
521178,SRI RAMK.MIL,X ,Q,28.45,28.45,27.00,27.00,27.00,27.60,24,5058,142746.00,,INE306D01017,06-Jan-22,,
521180,SUPER SPIN. ,B ,Q,11.23,12.54,11.03,12.54,12.54,11.40,647,605595,7446526.00,,INE662A01027,06-Jan-22,,
521188,UNITED TEXT.,XT,Q,17.17,17.17,15.55,17.16,17.00,16.36,212,33278,564029.00,,INE727E01012,06-Jan-22,,
521194,SIL INVEST  ,B ,Q,316.00,322.25,314.05,314.85,314.65,313.45,115,1031,326583.00,,INE923A01015,06-Jan-22,,
521200,SURYLAK.COTT,B ,Q,87.15,89.80,85.70,88.65,89.15,90.15,330,21197,1854310.00,,INE713B01026,06-Jan-22,,
521206,SAMTEX FASH.,XT,Q,7.04,7.78,7.04,7.78,7.78,7.41,1908,1906860,13943688.00,,INE931D01020,06-Jan-22,,
521216,DHAN ROTO SP,X ,Q,87.30,89.75,83.00,87.80,87.90,86.50,37,2916,251375.00,,INE220C01012,06-Jan-22,,
521220,DAMOINDUS   ,B ,Q,60.90,61.60,58.60,60.95,60.55,61.85,165,6375,383804.00,,INE497D01022,06-Jan-22,,
521226,UNI ROYAL IN,X ,Q,16.70,16.80,16.30,16.80,16.80,16.00,78,14060,234779.00,,INE980D01019,06-Jan-22,,
521228,TATIA GLOB  ,XT,Q,4.31,4.75,4.31,4.75,4.75,4.53,1394,994783,4400260.00,,INE083G01031,06-Jan-22,,
521234,SRI NACHAMAI,X ,Q,48.85,49.80,46.45,47.75,47.75,48.85,31,869,41377.00,,INE443E01016,06-Jan-22,,
521240,SAMBANDAM SP,X ,Q,258.00,265.00,252.00,261.60,265.00,260.55,67,4172,1068366.00,,INE304D01012,06-Jan-22,,
521242,KANDAGIRI SP,X ,Q,24.90,24.95,22.65,24.40,24.95,23.80,33,4339,101938.00,,INE292D01019,06-Jan-22,,
521248,KITEX GARMEN,B ,Q,216.00,240.80,216.00,232.60,232.60,220.10,12545,463115,106720246.00,,INE602G01020,06-Jan-22,,
522001,CRANEX LTD. ,X ,Q,19.15,19.15,18.00,18.20,18.20,19.15,16,2937,53765.00,,INE608B01010,06-Jan-22,,
522004,BATLIBOI LTD,X ,Q,42.30,42.70,41.80,42.50,42.65,42.75,41,4485,188687.00,,INE177C01022,06-Jan-22,,
522005,AUSTIN ENGG.,X ,Q,68.65,79.00,68.45,76.35,77.45,71.40,190,20471,1548731.00,,INE759F01012,06-Jan-22,,
522014,UNITED DRILL,B ,Q,517.70,542.00,495.50,513.25,510.00,517.70,3525,52008,26950705.00,,INE961D01019,06-Jan-22,,
522017,FLUIDOMAT   ,X ,Q,142.50,142.50,137.10,140.80,140.80,140.05,53,2493,348327.00,,INE459C01016,06-Jan-22,,
522027,EMA INDIA   ,X ,Q,24.65,24.65,23.45,23.45,23.45,24.65,10,589,13833.00,,INE279D01016,06-Jan-22,,
522029,WINDSOR MACH,B ,Q,40.00,42.65,38.50,41.95,42.20,40.40,1053,114246,4712492.00,,INE052A01021,06-Jan-22,,
522034,SHANTHI GEAR,B ,Q,152.30,160.60,152.30,156.50,156.50,154.45,516,11330,1775882.00,,INE631A01022,06-Jan-22,,
522036,MIVEN MACHIN,X ,Q,9.36,9.36,9.36,9.36,9.36,8.92,22,1822,17053.00,,INE338P01014,06-Jan-22,,
522064,HONDAPOWER  ,B ,Q,1275.10,1325.50,1274.30,1320.15,1320.00,1287.30,250,1642,2136828.00,,INE634A01018,06-Jan-22,,
522073,HITECHGEAR  ,B ,Q,251.95,253.00,250.20,252.00,252.00,251.00,38,1135,286319.00,,INE127B01011,06-Jan-22,,
522074,ELGI EQUIP  ,A ,Q,308.60,340.30,306.05,337.55,337.55,316.95,4288,103948,34019324.00,,INE285A01027,06-Jan-22,,
522091,UV DER HORST,X ,Q,64.00,65.00,56.00,65.00,65.00,59.10,75,6150,392808.00,,INE890G01013,06-Jan-22,,
522101,KILBURN ENGG,X ,Q,29.50,32.15,29.50,32.15,32.15,30.65,87,15483,485408.00,,INE338F01015,06-Jan-22,,
522105,BIRLA PRETEC,XT,Q,59.85,59.85,59.85,59.85,59.85,62.95,415,49402,2956709.00,,INE372E01025,06-Jan-22,,
522108,YUKEN INDIA ,B ,Q,578.05,590.00,565.00,580.45,588.00,579.60,103,307,177021.00,,INE384C01016,06-Jan-22,,
522113,TIMKEN (I)  ,A ,Q,2080.00,2114.00,2040.15,2054.40,2051.15,2095.35,1132,3621,7522036.00,,INE325A01013,06-Jan-22,,
522122,VOITH PAPER ,X ,Q,1120.10,1143.00,1120.00,1128.10,1120.00,1143.70,49,707,801041.00,,INE285C01015,06-Jan-22,,
522152,SOLITAIR MC ,XT,Q,54.70,59.40,54.70,59.05,59.15,56.70,104,11661,669730.00,,INE410A01013,06-Jan-22,,
